,Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12
290,Liver Failure,Severe fatigue,Swelling in the arms,Discomfort on the right side of the abdomen below the ribs,Yellowing of the skin,Vomiting,Loss of appetite,Mental difficulties,Nausea,Swelling in the abdomen,Swelling in the legs,Tendency to bleed easily,Confusion
291,Liver Failure,Swelling in the legs,Swelling in the abdomen,Swelling in the arms,Vomiting,Nausea,Discomfort on the right side of the abdomen below the ribs,Loss of appetite,Severe fatigue,Tendency to bleed easily,Confusion,Yellowing of the skin,Mental difficulties
292,Liver Failure,Mental difficulties,Nausea,Severe fatigue,Swelling in the legs,Swelling in the arms,Loss of appetite,Swelling in the abdomen,Confusion,Yellowing of the skin,Vomiting,Discomfort on the right side of the abdomen below the ribs,Tendency to bleed easily
293,Liver Failure,Swelling in the abdomen,Severe fatigue,Tendency to bleed easily,Discomfort on the right side of the abdomen below the ribs,Mental difficulties,Confusion,Nausea,Yellowing of the skin,Vomiting,Loss of appetite,Swelling in the legs,Swelling in the arms
294,Liver Failure,Discomfort on the right side of the abdomen below the ribs,Severe fatigue,Vomiting,Loss of appetite,Swelling in the arms,Tendency to bleed easily,Swelling in the legs,Yellowing of the skin,Mental difficulties,Confusion,Swelling in the abdomen,Nausea
295,Liver Failure,Swelling in the arms,Mental difficulties,Confusion,Discomfort on the right side of the abdomen below the ribs,Yellowing of the skin,Loss of appetite,Tendency to bleed easily,Vomiting,Swelling in the legs,Swelling in the abdomen,Severe fatigue,Nausea
296,Liver Failure,Severe fatigue,Yellowing of the skin,Tendency to bleed easily,Swelling in the legs,Nausea,Loss of appetite,Confusion,Swelling in the abdomen,Swelling in the arms,Discomfort on the right side of the abdomen below the ribs,Mental difficulties,Vomiting
297,Liver Failure,Swelling in the abdomen,Swelling in the legs,Severe fatigue,Confusion,Mental difficulties,Swelling in the arms,Nausea,Loss of appetite,Vomiting,Tendency to bleed easily,Yellowing of the skin,Discomfort on the right side of the abdomen below the ribs
298,Liver Failure,Swelling in the arms,Vomiting,Swelling in the abdomen,Yellowing of the skin,Swelling in the legs,Tendency to bleed easily,Confusion,Loss of appetite,Discomfort on the right side of the abdomen below the ribs,Mental difficulties,Nausea,Severe fatigue
299,Liver Failure,Confusion,Severe fatigue,Mental difficulties,Swelling in the abdomen,Nausea,Swelling in the arms,Vomiting,Tendency to bleed easily,Yellowing of the skin,Swelling in the legs,Loss of appetite,Discomfort on the right side of the abdomen below the ribs
300,Diabetes,Losing weight without trying,Nausea,Feeling very hungry,Frequent skin infection,Urinating frequently at night,Feeling very thirsty,Blurry vision,Cuts and bruises that are slow to heal,Feeling very tired,Numbness or tingling in your hands or feet,Very dry skin,Sores that heal slowly
301,Diabetes,Losing weight without trying,Cuts and bruises that are slow to heal,Sores that heal slowly,Feeling very tired,Nausea,Numbness or tingling in your hands or feet,Very dry skin,Blurry vision,Frequent skin infection,Feeling very hungry,Urinating frequently at night,Feeling very thirsty
302,Diabetes,Numbness or tingling in your hands or feet,Feeling very thirsty,Frequent skin infection,Cuts and bruises that are slow to heal,Feeling very tired,Nausea,Very dry skin,Feeling very hungry,Sores that heal slowly,Losing weight without trying,Blurry vision,Urinating frequently at night
303,Diabetes,Feeling very tired,Sores that heal slowly,Blurry vision,Losing weight without trying,Numbness or tingling in your hands or feet,Nausea,Frequent skin infection,Feeling very thirsty,Cuts and bruises that are slow to heal,Feeling very hungry,Urinating frequently at night,Very dry skin
304,Diabetes,Urinating frequently at night,Feeling very hungry,Frequent skin infection,Nausea,Feeling very tired,Losing weight without trying,Cuts and bruises that are slow to heal,Feeling very thirsty,Sores that heal slowly,Very dry skin,Numbness or tingling in your hands or feet,Blurry vision
305,Diabetes,Frequent skin infection,Feeling very tired,Blurry vision,Losing weight without trying,Urinating frequently at night,Very dry skin,Feeling very thirsty,Feeling very hungry,Numbness or tingling in your hands or feet,Cuts and bruises that are slow to heal,Sores that heal slowly,Nausea
306,Diabetes,Very dry skin,Nausea,Feeling very tired,Blurry vision,Frequent skin infection,Feeling very hungry,Numbness or tingling in your hands or feet,Sores that heal slowly,Feeling very thirsty,Urinating frequently at night,Losing weight without trying,Cuts and bruises that are slow to heal
307,Diabetes,Urinating frequently at night,Cuts and bruises that are slow to heal,Feeling very hungry,Feeling very tired,Very dry skin,Losing weight without trying,Numbness or tingling in your hands or feet,Nausea,Frequent skin infection,Blurry vision,Feeling very thirsty,Sores that heal slowly
308,Diabetes,Very dry skin,Feeling very thirsty,Urinating frequently at night,Frequent skin infection,Sores that heal slowly,Cuts and bruises that are slow to heal,Feeling very hungry,Losing weight without trying,Nausea,Numbness or tingling in your hands or feet,Blurry vision,Feeling very tired
309,Diabetes,Losing weight without trying,Feeling very hungry,Nausea,Blurry vision,Feeling very tired,Cuts and bruises that are slow to heal,Numbness or tingling in your hands or feet,Sores that heal slowly,Feeling very thirsty,Very dry skin,Urinating frequently at night,Frequent skin infection
310,Diabetes,Feeling very thirsty,Feeling very tired,Urinating frequently at night,Frequent skin infection,Blurry vision,Feeling very hungry,Numbness or tingling in your hands or feet,Losing weight without trying,Very dry skin,Sores that heal slowly,Cuts and bruises that are slow to heal,Nausea
311,Diabetes,Sores that heal slowly,Frequent skin infection,Urinating frequently at night,Losing weight without trying,Nausea,Cuts and bruises that are slow to heal,Numbness or tingling in your hands or feet,Very dry skin,Feeling very tired,Feeling very thirsty,Feeling very hungry,Blurry vision
312,Diabetes,Losing weight without trying,Feeling very tired,Feeling very hungry,Blurry vision,Urinating frequently at night,Numbness or tingling in your hands or feet,Feeling very thirsty,Nausea,Very dry skin,Sores that heal slowly,Cuts and bruises that are slow to heal,Frequent skin infection
313,Diabetes,Feeling very tired,Sores that heal slowly,Nausea,Very dry skin,Feeling very thirsty,Feeling very hungry,Blurry vision,Cuts and bruises that are slow to heal,Frequent skin infection,Losing weight without trying,Urinating frequently at night,Numbness or tingling in your hands or feet
314,Diabetes,Feeling very thirsty,Losing weight without trying,Urinating frequently at night,Frequent skin infection,Cuts and bruises that are slow to heal,Blurry vision,Feeling very hungry,Sores that heal slowly,Numbness or tingling in your hands or feet,Very dry skin,Feeling very tired,Nausea
315,Diabetes,Nausea,Sores that heal slowly,Feeling very tired,Urinating frequently at night,Frequent skin infection,Blurry vision,Numbness or tingling in your hands or feet,Feeling very thirsty,Cuts and bruises that are slow to heal,Feeling very hungry,Very dry skin,Losing weight without trying
316,Diabetes,Feeling very thirsty,Nausea,Numbness or tingling in your hands or feet,Feeling very hungry,Very dry skin,Feeling very tired,Urinating frequently at night,Blurry vision,Frequent skin infection,Cuts and bruises that are slow to heal,Sores that heal slowly,Losing weight without trying
317,Diabetes,Sores that heal slowly,Feeling very thirsty,Nausea,Feeling very hungry,Urinating frequently at night,Frequent skin infection,Numbness or tingling in your hands or feet,Feeling very tired,Very dry skin,Cuts and bruises that are slow to heal,Losing weight without trying,Blurry vision
318,Diabetes,Losing weight without trying,Sores that heal slowly,Cuts and bruises that are slow to heal,Urinating frequently at night,Feeling very thirsty,Frequent skin infection,Nausea,Feeling very hungry,Blurry vision,Feeling very tired,Very dry skin,Numbness or tingling in your hands or feet
319,Diabetes,Blurry vision,Feeling very thirsty,Sores that heal slowly,Frequent skin infection,Cuts and bruises that are slow to heal,Feeling very tired,Losing weight without trying,Nausea,Feeling very hungry,Urinating frequently at night,Very dry skin,Numbness or tingling in your hands or feet
320,Diabetes,Blurry vision,Feeling very thirsty,Very dry skin,Feeling very hungry,Numbness or tingling in your hands or feet,Cuts and bruises that are slow to heal,Losing weight without trying,Urinating frequently at night,Nausea,Feeling very tired,Frequent skin infection,Sores that heal slowly
321,Diabetes,Nausea,Sores that heal slowly,Blurry vision,Feeling very hungry,Losing weight without trying,Numbness or tingling in your hands or feet,Very dry skin,Urinating frequently at night,Frequent skin infection,Feeling very tired,Feeling very thirsty,Cuts and bruises that are slow to heal
322,Diabetes,Frequent skin infection,Sores that heal slowly,Losing weight without trying,Cuts and bruises that are slow to heal,Urinating frequently at night,Feeling very tired,Blurry vision,Feeling very hungry,Feeling very thirsty,Numbness or tingling in your hands or feet,Very dry skin,Nausea
323,Diabetes,Frequent skin infection,Losing weight without trying,Very dry skin,Cuts and bruises that are slow to heal,Blurry vision,Urinating frequently at night,Numbness or tingling in your hands or feet,Nausea,Feeling very thirsty,Sores that heal slowly,Feeling very tired,Feeling very hungry
324,Diabetes,Frequent skin infection,Sores that heal slowly,Feeling very thirsty,Blurry vision,Nausea,Losing weight without trying,Urinating frequently at night,Feeling very tired,Feeling very hungry,Very dry skin,Cuts and bruises that are slow to heal,Numbness or tingling in your hands or feet
325,Diabetes,Sores that heal slowly,Feeling very hungry,Cuts and bruises that are slow to heal,Feeling very thirsty,Numbness or tingling in your hands or feet,Urinating frequently at night,Losing weight without trying,Blurry vision,Very dry skin,Frequent skin infection,Feeling very tired,Nausea
326,Diabetes,Sores that heal slowly,Urinating frequently at night,Very dry skin,Nausea,Feeling very thirsty,Feeling very hungry,Cuts and bruises that are slow to heal,Blurry vision,Losing weight without trying,Feeling very tired,Numbness or tingling in your hands or feet,Frequent skin infection
327,Diabetes,Urinating frequently at night,Losing weight without trying,Sores that heal slowly,Cuts and bruises that are slow to heal,Nausea,Feeling very thirsty,Numbness or tingling in your hands or feet,Very dry skin,Frequent skin infection,Feeling very tired,Blurry vision,Feeling very hungry
328,Diabetes,Blurry vision,Feeling very tired,Losing weight without trying,Feeling very thirsty,Nausea,Numbness or tingling in your hands or feet,Urinating frequently at night,Very dry skin,Sores that heal slowly,Cuts and bruises that are slow to heal,Feeling very hungry,Frequent skin infection
329,Diabetes,Blurry vision,Urinating frequently at night,Sores that heal slowly,Losing weight without trying,Numbness or tingling in your hands or feet,Very dry skin,Feeling very hungry,Feeling very tired,Feeling very thirsty,Nausea,Cuts and bruises that are slow to heal,Frequent skin infection
330,Diabetes,Losing weight without trying,Very dry skin,Blurry vision,Frequent skin infection,Numbness or tingling in your hands or feet,Cuts and bruises that are slow to heal,Feeling very tired,Nausea,Sores that heal slowly,Feeling very hungry,Urinating frequently at night,Feeling very thirsty
331,Diabetes,Sores that heal slowly,Urinating frequently at night,Feeling very thirsty,Very dry skin,Nausea,Cuts and bruises that are slow to heal,Feeling very hungry,Frequent skin infection,Feeling very tired,Numbness or tingling in your hands or feet,Blurry vision,Losing weight without trying
332,Diabetes,Losing weight without trying,Feeling very hungry,Numbness or tingling in your hands or feet,Blurry vision,Urinating frequently at night,Feeling very thirsty,Sores that heal slowly,Very dry skin,Frequent skin infection,Feeling very tired,Cuts and bruises that are slow to heal,Nausea
333,Diabetes,Nausea,Frequent skin infection,Losing weight without trying,Blurry vision,Feeling very thirsty,Feeling very hungry,Sores that heal slowly,Feeling very tired,Cuts and bruises that are slow to heal,Very dry skin,Numbness or tingling in your hands or feet,Urinating frequently at night
334,Diabetes,Feeling very tired,Frequent skin infection,Cuts and bruises that are slow to heal,Urinating frequently at night,Feeling very hungry,Nausea,Feeling very thirsty,Numbness or tingling in your hands or feet,Sores that heal slowly,Very dry skin,Losing weight without trying,Blurry vision
335,Diabetes,Sores that heal slowly,Very dry skin,Cuts and bruises that are slow to heal,Frequent skin infection,Urinating frequently at night,Losing weight without trying,Feeling very hungry,Numbness or tingling in your hands or feet,Feeling very tired,Feeling very thirsty,Nausea,Blurry vision
336,Diabetes,Feeling very thirsty,Blurry vision,Frequent skin infection,Feeling very hungry,Cuts and bruises that are slow to heal,Numbness or tingling in your hands or feet,Sores that heal slowly,Losing weight without trying,Urinating frequently at night,Very dry skin,Nausea,Feeling very tired
337,Diabetes,Sores that heal slowly,Very dry skin,Losing weight without trying,Blurry vision,Frequent skin infection,Feeling very hungry,Urinating frequently at night,Cuts and bruises that are slow to heal,Numbness or tingling in your hands or feet,Feeling very thirsty,Nausea,Feeling very tired
338,Diabetes,Frequent skin infection,Sores that heal slowly,Nausea,Blurry vision,Losing weight without trying,Feeling very thirsty,Very dry skin,Urinating frequently at night,Cuts and bruises that are slow to heal,Feeling very tired,Numbness or tingling in your hands or feet,Feeling very hungry
339,Diabetes,Feeling very hungry,Frequent skin infection,Blurry vision,Cuts and bruises that are slow to heal,Losing weight without trying,Sores that heal slowly,Numbness or tingling in your hands or feet,Nausea,Feeling very tired,Very dry skin,Urinating frequently at night,Feeling very thirsty
340,Diabetes,Urinating frequently at night,Feeling very tired,Blurry vision,Numbness or tingling in your hands or feet,Feeling very thirsty,Cuts and bruises that are slow to heal,Feeling very hungry,Very dry skin,Sores that heal slowly,Losing weight without trying,Frequent skin infection,Nausea
341,Diabetes,Feeling very tired,Numbness or tingling in your hands or feet,Urinating frequently at night,Feeling very thirsty,Sores that heal slowly,Cuts and bruises that are slow to heal,Frequent skin infection,Very dry skin,Blurry vision,Nausea,Losing weight without trying,Feeling very hungry
342,Diabetes,Blurry vision,Feeling very thirsty,Losing weight without trying,Sores that heal slowly,Feeling very hungry,Nausea,Cuts and bruises that are slow to heal,Urinating frequently at night,Numbness or tingling in your hands or feet,Frequent skin infection,Very dry skin,Feeling very tired
343,Diabetes,Feeling very hungry,Losing weight without trying,Frequent skin infection,Urinating frequently at night,Blurry vision,Nausea,Feeling very tired,Feeling very thirsty,Cuts and bruises that are slow to heal,Very dry skin,Sores that heal slowly,Numbness or tingling in your hands or feet
344,Diabetes,Numbness or tingling in your hands or feet,Feeling very hungry,Feeling very tired,Very dry skin,Urinating frequently at night,Feeling very thirsty,Nausea,Losing weight without trying,Sores that heal slowly,Frequent skin infection,Blurry vision,Cuts and bruises that are slow to heal
345,Diabetes,Sores that heal slowly,Urinating frequently at night,Nausea,Losing weight without trying,Feeling very tired,Feeling very hungry,Cuts and bruises that are slow to heal,Frequent skin infection,Blurry vision,Feeling very thirsty,Very dry skin,Numbness or tingling in your hands or feet
346,Diabetes,Urinating frequently at night,Very dry skin,Feeling very hungry,Sores that heal slowly,Blurry vision,Cuts and bruises that are slow to heal,Frequent skin infection,Losing weight without trying,Numbness or tingling in your hands or feet,Feeling very thirsty,Feeling very tired,Nausea
347,Diabetes,Very dry skin,Sores that heal slowly,Numbness or tingling in your hands or feet,Nausea,Cuts and bruises that are slow to heal,Losing weight without trying,Feeling very thirsty,Urinating frequently at night,Feeling very tired,Blurry vision,Feeling very hungry,Frequent skin infection
348,Diabetes,Feeling very thirsty,Nausea,Losing weight without trying,Feeling very tired,Very dry skin,Urinating frequently at night,Feeling very hungry,Cuts and bruises that are slow to heal,Blurry vision,Sores that heal slowly,Numbness or tingling in your hands or feet,Frequent skin infection
349,Diabetes,Nausea,Feeling very tired,Sores that heal slowly,Numbness or tingling in your hands or feet,Cuts and bruises that are slow to heal,Feeling very hungry,Urinating frequently at night,Frequent skin infection,Feeling very thirsty,Blurry vision,Very dry skin,Losing weight without trying
350,Diabetes,Sores that heal slowly,Frequent skin infection,Feeling very tired,Very dry skin,Urinating frequently at night,Feeling very thirsty,Blurry vision,Cuts and bruises that are slow to heal,Nausea,Numbness or tingling in your hands or feet,Losing weight without trying,Feeling very hungry
351,Diabetes,Sores that heal slowly,Nausea,Frequent skin infection,Feeling very thirsty,Losing weight without trying,Cuts and bruises that are slow to heal,Urinating frequently at night,Feeling very hungry,Numbness or tingling in your hands or feet,Feeling very tired,Blurry vision,Very dry skin
352,Diabetes,Very dry skin,Cuts and bruises that are slow to heal,Sores that heal slowly,Feeling very thirsty,Frequent skin infection,Numbness or tingling in your hands or feet,Feeling very hungry,Losing weight without trying,Nausea,Blurry vision,Urinating frequently at night,Feeling very tired
353,Diabetes,Blurry vision,Frequent skin infection,Feeling very tired,Feeling very hungry,Urinating frequently at night,Nausea,Very dry skin,Cuts and bruises that are slow to heal,Sores that heal slowly,Losing weight without trying,Numbness or tingling in your hands or feet,Feeling very thirsty
354,Diabetes,Feeling very thirsty,Feeling very tired,Numbness or tingling in your hands or feet,Feeling very hungry,Sores that heal slowly,Losing weight without trying,Cuts and bruises that are slow to heal,Blurry vision,Frequent skin infection,Urinating frequently at night,Very dry skin,Nausea
355,Diabetes,Frequent skin infection,Feeling very tired,Losing weight without trying,Very dry skin,Urinating frequently at night,Numbness or tingling in your hands or feet,Nausea,Blurry vision,Sores that heal slowly,Cuts and bruises that are slow to heal,Feeling very thirsty,Feeling very hungry
356,Diabetes,Very dry skin,Feeling very tired,Feeling very thirsty,Losing weight without trying,Frequent skin infection,Nausea,Cuts and bruises that are slow to heal,Blurry vision,Urinating frequently at night,Numbness or tingling in your hands or feet,Feeling very hungry,Sores that heal slowly
357,Diabetes,Sores that heal slowly,Feeling very tired,Urinating frequently at night,Feeling very thirsty,Very dry skin,Blurry vision,Feeling very hungry,Cuts and bruises that are slow to heal,Losing weight without trying,Nausea,Numbness or tingling in your hands or feet,Frequent skin infection
358,Diabetes,Numbness or tingling in your hands or feet,Cuts and bruises that are slow to heal,Very dry skin,Feeling very hungry,Feeling very thirsty,Sores that heal slowly,Frequent skin infection,Blurry vision,Feeling very tired,Nausea,Urinating frequently at night,Losing weight without trying
359,Diabetes,Frequent skin infection,Numbness or tingling in your hands or feet,Urinating frequently at night,Cuts and bruises that are slow to heal,Very dry skin,Feeling very thirsty,Blurry vision,Nausea,Sores that heal slowly,Feeling very hungry,Feeling very tired,Losing weight without trying
360,Diabetes,Feeling very tired,Cuts and bruises that are slow to heal,Frequent skin infection,Very dry skin,Feeling very thirsty,Numbness or tingling in your hands or feet,Losing weight without trying,Urinating frequently at night,Sores that heal slowly,Blurry vision,Feeling very hungry,Nausea
361,Diabetes,Feeling very tired,Sores that heal slowly,Nausea,Numbness or tingling in your hands or feet,Cuts and bruises that are slow to heal,Very dry skin,Feeling very thirsty,Feeling very hungry,Urinating frequently at night,Losing weight without trying,Frequent skin infection,Blurry vision
362,Diabetes,Urinating frequently at night,Feeling very thirsty,Nausea,Feeling very hungry,Sores that heal slowly,Cuts and bruises that are slow to heal,Losing weight without trying,Feeling very tired,Numbness or tingling in your hands or feet,Frequent skin infection,Very dry skin,Blurry vision
363,Diabetes,Cuts and bruises that are slow to heal,Frequent skin infection,Sores that heal slowly,Feeling very tired,Urinating frequently at night,Very dry skin,Blurry vision,Feeling very hungry,Numbness or tingling in your hands or feet,Feeling very thirsty,Losing weight without trying,Nausea
364,Diabetes,Feeling very tired,Feeling very hungry,Very dry skin,Cuts and bruises that are slow to heal,Losing weight without trying,Frequent skin infection,Feeling very thirsty,Sores that heal slowly,Blurry vision,Nausea,Urinating frequently at night,Numbness or tingling in your hands or feet
365,Diabetes,Nausea,Frequent skin infection,Losing weight without trying,Urinating frequently at night,Feeling very tired,Feeling very hungry,Very dry skin,Numbness or tingling in your hands or feet,Sores that heal slowly,Cuts and bruises that are slow to heal,Feeling very thirsty,Blurry vision
366,Diabetes,Losing weight without trying,Numbness or tingling in your hands or feet,Very dry skin,Feeling very hungry,Nausea,Feeling very tired,Urinating frequently at night,Blurry vision,Sores that heal slowly,Cuts and bruises that are slow to heal,Frequent skin infection,Feeling very thirsty
367,Diabetes,Feeling very tired,Blurry vision,Numbness or tingling in your hands or feet,Frequent skin infection,Very dry skin,Urinating frequently at night,Sores that heal slowly,Feeling very hungry,Cuts and bruises that are slow to heal,Losing weight without trying,Nausea,Feeling very thirsty
368,Diabetes,Feeling very hungry,Cuts and bruises that are slow to heal,Urinating frequently at night,Very dry skin,Blurry vision,Feeling very thirsty,Sores that heal slowly,Nausea,Feeling very tired,Numbness or tingling in your hands or feet,Frequent skin infection,Losing weight without trying
369,Diabetes,Losing weight without trying,Nausea,Very dry skin,Feeling very tired,Feeling very hungry,Frequent skin infection,Numbness or tingling in your hands or feet,Sores that heal slowly,Urinating frequently at night,Cuts and bruises that are slow to heal,Blurry vision,Feeling very thirsty
370,Diabetes,Feeling very tired,Cuts and bruises that are slow to heal,Sores that heal slowly,Feeling very thirsty,Numbness or tingling in your hands or feet,Feeling very hungry,Urinating frequently at night,Frequent skin infection,Blurry vision,Losing weight without trying,Nausea,Very dry skin
371,Diabetes,Blurry vision,Urinating frequently at night,Cuts and bruises that are slow to heal,Nausea,Frequent skin infection,Sores that heal slowly,Feeling very thirsty,Numbness or tingling in your hands or feet,Feeling very hungry,Losing weight without trying,Very dry skin,Feeling very tired
372,Diabetes,Frequent skin infection,Very dry skin,Urinating frequently at night,Feeling very tired,Sores that heal slowly,Feeling very hungry,Blurry vision,Cuts and bruises that are slow to heal,Nausea,Feeling very thirsty,Numbness or tingling in your hands or feet,Losing weight without trying
373,Diabetes,Losing weight without trying,Very dry skin,Blurry vision,Urinating frequently at night,Feeling very hungry,Sores that heal slowly,Feeling very thirsty,Cuts and bruises that are slow to heal,Frequent skin infection,Nausea,Numbness or tingling in your hands or feet,Feeling very tired
374,Diabetes,Feeling very hungry,Blurry vision,Nausea,Very dry skin,Losing weight without trying,Feeling very tired,Numbness or tingling in your hands or feet,Urinating frequently at night,Sores that heal slowly,Feeling very thirsty,Cuts and bruises that are slow to heal,Frequent skin infection
375,Diabetes,Blurry vision,Sores that heal slowly,Urinating frequently at night,Feeling very hungry,Nausea,Numbness or tingling in your hands or feet,Cuts and bruises that are slow to heal,Losing weight without trying,Frequent skin infection,Very dry skin,Feeling very thirsty,Feeling very tired
376,Diabetes,Sores that heal slowly,Numbness or tingling in your hands or feet,Urinating frequently at night,Losing weight without trying,Cuts and bruises that are slow to heal,Blurry vision,Frequent skin infection,Feeling very tired,Nausea,Feeling very hungry,Very dry skin,Feeling very thirsty
377,Diabetes,Blurry vision,Cuts and bruises that are slow to heal,Numbness or tingling in your hands or feet,Losing weight without trying,Urinating frequently at night,Nausea,Sores that heal slowly,Very dry skin,Feeling very thirsty,Feeling very tired,Frequent skin infection,Feeling very hungry
378,Diabetes,Sores that heal slowly,Feeling very tired,Feeling very thirsty,Numbness or tingling in your hands or feet,Blurry vision,Cuts and bruises that are slow to heal,Nausea,Very dry skin,Frequent skin infection,Losing weight without trying,Feeling very hungry,Urinating frequently at night
379,Diabetes,Feeling very thirsty,Blurry vision,Feeling very tired,Feeling very hungry,Losing weight without trying,Nausea,Cuts and bruises that are slow to heal,Sores that heal slowly,Very dry skin,Frequent skin infection,Numbness or tingling in your hands or feet,Urinating frequently at night
380,Diabetes,Sores that heal slowly,Feeling very tired,Numbness or tingling in your hands or feet,Cuts and bruises that are slow to heal,Losing weight without trying,Frequent skin infection,Feeling very thirsty,Feeling very hungry,Very dry skin,Blurry vision,Nausea,Urinating frequently at night
381,Diabetes,Blurry vision,Cuts and bruises that are slow to heal,Feeling very tired,Feeling very hungry,Frequent skin infection,Nausea,Sores that heal slowly,Numbness or tingling in your hands or feet,Urinating frequently at night,Losing weight without trying,Feeling very thirsty,Very dry skin
382,Diabetes,Feeling very thirsty,Very dry skin,Nausea,Urinating frequently at night,Feeling very tired,Numbness or tingling in your hands or feet,Sores that heal slowly,Losing weight without trying,Blurry vision,Cuts and bruises that are slow to heal,Feeling very hungry,Frequent skin infection
383,Diabetes,Feeling very tired,Numbness or tingling in your hands or feet,Losing weight without trying,Frequent skin infection,Cuts and bruises that are slow to heal,Urinating frequently at night,Sores that heal slowly,Feeling very thirsty,Feeling very hungry,Blurry vision,Nausea,Very dry skin
384,Diabetes,Very dry skin,Cuts and bruises that are slow to heal,Blurry vision,Nausea,Feeling very tired,Urinating frequently at night,Losing weight without trying,Feeling very thirsty,Sores that heal slowly,Numbness or tingling in your hands or feet,Feeling very hungry,Frequent skin infection
385,Diabetes,Feeling very tired,Losing weight without trying,Urinating frequently at night,Feeling very hungry,Numbness or tingling in your hands or feet,Cuts and bruises that are slow to heal,Feeling very thirsty,Sores that heal slowly,Frequent skin infection,Nausea,Blurry vision,Very dry skin
386,Diabetes,Feeling very thirsty,Frequent skin infection,Numbness or tingling in your hands or feet,Sores that heal slowly,Blurry vision,Feeling very tired,Very dry skin,Nausea,Urinating frequently at night,Feeling very hungry,Cuts and bruises that are slow to heal,Losing weight without trying
387,Diabetes,Urinating frequently at night,Numbness or tingling in your hands or feet,Feeling very hungry,Frequent skin infection,Cuts and bruises that are slow to heal,Blurry vision,Nausea,Losing weight without trying,Feeling very thirsty,Very dry skin,Sores that heal slowly,Feeling very tired
388,Diabetes,Blurry vision,Numbness or tingling in your hands or feet,Losing weight without trying,Frequent skin infection,Urinating frequently at night,Feeling very thirsty,Nausea,Sores that heal slowly,Feeling very hungry,Very dry skin,Cuts and bruises that are slow to heal,Feeling very tired
389,Diabetes,Feeling very tired,Urinating frequently at night,Numbness or tingling in your hands or feet,Blurry vision,Losing weight without trying,Cuts and bruises that are slow to heal,Very dry skin,Feeling very hungry,Frequent skin infection,Feeling very thirsty,Nausea,Sores that heal slowly
390,Diabetes,Frequent skin infection,Sores that heal slowly,Feeling very tired,Cuts and bruises that are slow to heal,Feeling very hungry,Losing weight without trying,Numbness or tingling in your hands or feet,Nausea,Urinating frequently at night,Feeling very thirsty,Blurry vision,Very dry skin
391,Diabetes,Numbness or tingling in your hands or feet,Frequent skin infection,Feeling very thirsty,Urinating frequently at night,Cuts and bruises that are slow to heal,Feeling very tired,Losing weight without trying,Sores that heal slowly,Very dry skin,Nausea,Feeling very hungry,Blurry vision
392,Diabetes,Losing weight without trying,Numbness or tingling in your hands or feet,Cuts and bruises that are slow to heal,Feeling very tired,Frequent skin infection,Blurry vision,Nausea,Sores that heal slowly,Feeling very thirsty,Feeling very hungry,Very dry skin,Urinating frequently at night
393,Diabetes,Losing weight without trying,Blurry vision,Nausea,Feeling very thirsty,Sores that heal slowly,Numbness or tingling in your hands or feet,Urinating frequently at night,Cuts and bruises that are slow to heal,Frequent skin infection,Very dry skin,Feeling very tired,Feeling very hungry
394,Diabetes,Sores that heal slowly,Cuts and bruises that are slow to heal,Numbness or tingling in your hands or feet,Blurry vision,Feeling very tired,Feeling very hungry,Urinating frequently at night,Nausea,Losing weight without trying,Frequent skin infection,Very dry skin,Feeling very thirsty
395,Diabetes,Nausea,Urinating frequently at night,Cuts and bruises that are slow to heal,Very dry skin,Losing weight without trying,Frequent skin infection,Numbness or tingling in your hands or feet,Feeling very thirsty,Feeling very hungry,Feeling very tired,Sores that heal slowly,Blurry vision
396,Diabetes,Feeling very thirsty,Frequent skin infection,Feeling very tired,Cuts and bruises that are slow to heal,Urinating frequently at night,Very dry skin,Blurry vision,Losing weight without trying,Feeling very hungry,Nausea,Numbness or tingling in your hands or feet,Sores that heal slowly
397,Diabetes,Frequent skin infection,Very dry skin,Sores that heal slowly,Urinating frequently at night,Numbness or tingling in your hands or feet,Nausea,Feeling very tired,Feeling very thirsty,Feeling very hungry,Losing weight without trying,Cuts and bruises that are slow to heal,Blurry vision
398,Diabetes,Losing weight without trying,Urinating frequently at night,Blurry vision,Frequent skin infection,Feeling very tired,Very dry skin,Feeling very hungry,Feeling very thirsty,Numbness or tingling in your hands or feet,Sores that heal slowly,Nausea,Cuts and bruises that are slow to heal
399,Diabetes,Numbness or tingling in your hands or feet,Sores that heal slowly,Feeling very hungry,Urinating frequently at night,Losing weight without trying,Feeling very thirsty,Very dry skin,Cuts and bruises that are slow to heal,Frequent skin infection,Blurry vision,Feeling very tired,Nausea
400,Cervical Cancer,Vaginal bleeding after sex,Strong vaginal odor,Pelvic pain,Vaginal bleeding after menopause,Vaginal bleeding between periods,Pain during sex,Periods that are heavier,Vaginal discharge that contains blood,Longer periods than normal,Vaginal discharge that is watery,0,0
401,Cervical Cancer,Vaginal bleeding between periods,Periods that are heavier,Vaginal discharge that contains blood,Vaginal bleeding after menopause,Longer periods than normal,Strong vaginal odor,Vaginal discharge that is watery,Vaginal bleeding after sex,Pain during sex,Pelvic pain,0,0
